city,company,task,time,pay,regDate
경기 부천시, (주)지에스리테일,"[GS리테일 H&B] 랄라블라 디몰점 평일 오후(월,화,수) 부담당 모집",16:30~21:00,"시급9,160",59분전
울산 남구, (주)지에스리테일,GS리테일 랄라블라 울산삼산점 주말 오후 부담당 모집전화지원x/문자or메일,15:00~19:30,"시급9,160",2시간전
경기 군포시, (주)지에스리테일,[GS리테일] 랄라블라 산본역점 주말 마감 부담당 채용공고,,"시급9,160",3시간전
경기 군포시, (주)지에스리테일,[GS리테일] 랄라블라 산본역점 평일오후 부담당 채용공고,,"시급9,160",3시간전
경기 이천시, (주)지에스리테일,[GS리테일 H&B] 랄라블라 이천NC점 평일 부담당 모집,10:00~17:00,"시급9,160",4시간전
경남 창원시, 랄라블라창원합성점,[GS리테일] 랄라블라 창원합성점  주말오전  부담당구인,10:00~16:00,"시급9,160",5시간전
서울 강북구, (주)지에스리테일 랄라블라미아사거리점,"GS리테일 랄라블라 미아사거리점 평일오전(화,수,목)부담당 모집",10:30~16:00,"시급9,160",12시간전
서울 강북구, (주)지에스리테일 랄라블라미아사거리점,"GS리테일 랄라블라 미아사거리점 평일오후(화,수,목)부담당 모집",16:00~21:30,"시급9,160",22시간전
경북 구미시, (주)지에스리테일 랄라블라 구미역점,[GS리테일] H&B 랄라블라 구미역점 단기 평일 마감 부담당 구인,17:00~22:00,"시급9,160",07/16
